Position,Track Name,Artist,Streams,URL,Date,Region
Position,Track Name,Artist,Streams,URL,2018-11-02,lt
1,Shallow,Lady Gaga,5160,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2018-11-02,lt
2,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,3151,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2018-11-02,lt
3,Promises (with Sam Smith),Calvin Harris,2984,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2018-11-02,lt
4,Without Me,Halsey,2869,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2018-11-02,lt
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2700,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2018-11-02,lt
6,Let You Love Me,Rita Ora,2615,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS,2018-11-02,lt
7,In My Mind,Dynoro,2614,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2018-11-02,lt
8,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2576,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8,2018-11-02,lt
9,Always Remember Us This Way,Lady Gaga,2558,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,2018-11-02,lt
10,when the party's over,Billie Eilish,2455,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2018-11-02,lt
11,Better,Khalid,2430,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2018-11-02,lt
12,Falling Down - Bonus Track,Lil Peep,2345,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q,2018-11-02,lt
13,Kiss and Make Up,Dua Lipa,2290,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2018-11-02,lt
14,Happier,Marshmello,2256,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2018-11-02,lt
15,Sweet but Psycho,Ava Max,2237,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2018-11-02,lt
16,Woman Like Me (feat. Nicki Minaj),Little Mix,2196,https://open.spotify.com/track/6rrTr2HEAzlpC4KWZxF3S1,2018-11-02,lt
17,ZEZE (feat. Travis Scott & Offset),Kodak Black,2194,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA,2018-11-02,lt
18,I Found You (with Calvin Harris),benny blanco,1824,https://open.spotify.com/track/5sdb5pMhcK44SSLsj1moUh,2018-11-02,lt
19,Mo Bamba,Sheck Wes,1777,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2018-11-02,lt
20,MIA (feat. Drake),Bad Bunny,1765,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2018-11-02,lt
21,SICKO MODE,Travis Scott,1756,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2018-11-02,lt
22,I Love It (& Lil Pump),Kanye West,1720,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,2018-11-02,lt
23,Machine,Imagine Dragons,1691,https://open.spotify.com/track/5ftQSVAHs7iqULWKQn0fjK,2018-11-02,lt
24,Tu Maivais,Free Finga,1669,https://open.spotify.com/track/5xfm1GSz2tHXM8GMfBpWk2,2018-11-02,lt
25,Be Alright,Dean Lewis,1623,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2018-11-02,lt
26,Better Now,Post Malone,1571,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2018-11-02,lt
27,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,1512,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2018-11-02,lt
28,Natural,Imagine Dragons,1507,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP,2018-11-02,lt
29,Baby (feat. MARINA & Luis Fonsi),Clean Bandit,1505,https://open.spotify.com/track/1fLhGF1JfGQYj6EZLndD86,2018-11-02,lt
30,Nevermind,Dennis Lloyd,1504,https://open.spotify.com/track/63SevszngYpZOwf63o61K4,2018-11-02,lt
31,Electricity (with Dua Lipa),Silk City,1494,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk,2018-11-02,lt
32,Eastside (with Halsey & Khalid),benny blanco,1470,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao,2018-11-02,lt
33,Suncity (feat. Empress Of),Khalid,1459,https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN,2018-11-02,lt
34,Ruin My Life,Zara Larsson,1419,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,2018-11-02,lt
35,Youngblood,5 Seconds of Summer,1378,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2018-11-02,lt
36,Bohemian Rhapsody - Remastered 2011,Queen,1375,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2018-11-02,lt
37,Moonlight,XXXTENTACION,1353,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2018-11-02,lt
38,Wake Up in the Sky,Gucci Mane,1345,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq,2018-11-02,lt
39,Runaway,Lil Peep,1340,https://open.spotify.com/track/6W4f0lzPGSIKsbTRhNk8VI,2018-11-02,lt
40,Body (feat. Brando),Loud Luxury,1329,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2018-11-02,lt
41,Thunderclouds,Sia,1328,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi,2018-11-02,lt
42,Dreamer,Martin Garrix,1309,https://open.spotify.com/track/0wUxh6XMc698xPCfgBaPRV,2018-11-02,lt
43,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,1306,https://open.spotify.com/track/4edS9dC0JPBlSS4p4gMOT0,2018-11-02,lt
44,Solo (feat. Demi Lovato),Clean Bandit,1217,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6,2018-11-02,lt
45,SAD!,XXXTENTACION,1215,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2018-11-02,lt
46,Say My Name,David Guetta,1211,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,2018-11-02,lt
47,Lucid Dreams,Juice WRLD,1211,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf,2018-11-02,lt
48,rockstar (feat. 21 Savage),Post Malone,1211,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2018-11-02,lt
49,Diamond Heart,Alan Walker,1182,https://open.spotify.com/track/4J4zx8xGJpuGndrVc06KaT,2018-11-02,lt
50,There's No Way (feat. Julia Michaels),Lauv,1182,https://open.spotify.com/track/2hnxrRNzF74mdDzpQZQukQ,2018-11-02,lt
51,Lucky You (feat. Joyner Lucas),Eminem,1178,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0,2018-11-02,lt
52,Mountains,Sia,1166,https://open.spotify.com/track/4gnZPWL9c1ZunZuqc8Asbu,2018-11-02,lt
53,No Stylist,French Montana,1144,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A,2018-11-02,lt
54,Waste It On Me (feat. BTS),Steve Aoki,1138,https://open.spotify.com/track/2r1T6xGTVaNAqBoPH4lZEE,2018-11-02,lt
55,Beautiful (feat. Camila Cabello),Bazzi,1128,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2018-11-02,lt
56,Shotgun,George Ezra,1124,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,2018-11-02,lt
57,1999,Charli XCX,1106,https://open.spotify.com/track/05mAIVLkIWc2d1UBYZBCp8,2018-11-02,lt
58,One Kiss (with Dua Lipa),Calvin Harris,1098,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,2018-11-02,lt
59,YEAH RIGHT,Joji,1081,https://open.spotify.com/track/1VGzxJnVQND7Cg5H5wGj14,2018-11-02,lt
60,Emoji,Galantis,1071,https://open.spotify.com/track/55a4T3yJwr1ZVcKEprSwXC,2018-11-02,lt
61,Lost In Japan - Remix,Shawn Mendes,1067,https://open.spotify.com/track/575NJxNUVDqwJGdzBrlLbv,2018-11-02,lt
62,Another One Bites The Dust - Remastered 2011,Queen,1057,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,2018-11-02,lt
63,In My Feelings,Drake,1043,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2018-11-02,lt
64,Happy Now,Kygo,1029,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4,2018-11-02,lt
65,10 Freaky Girls (with 21 Savage),Metro Boomin,1005,https://open.spotify.com/track/43lYaovU2FoeuBMNusVVVW,2018-11-02,lt
Position,Track Name,Artist,Streams,URL,2018-11-03,lt
1,Shallow,Lady Gaga,4583,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2018-11-03,lt
2,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,3021,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2018-11-03,lt
3,Without Me,Halsey,2615,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2018-11-03,lt
4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2545,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2018-11-03,lt
5,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2496,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8,2018-11-03,lt
6,when the party's over,Billie Eilish,2463,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2018-11-03,lt
7,In My Mind,Dynoro,2265,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2018-11-03,lt
8,Better,Khalid,2221,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2018-11-03,lt
9,Always Remember Us This Way,Lady Gaga,2220,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,2018-11-03,lt
10,Sweet but Psycho,Ava Max,2197,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2018-11-03,lt
11,Let You Love Me,Rita Ora,2192,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS,2018-11-03,lt
12,Promises (with Sam Smith),Calvin Harris,2160,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2018-11-03,lt
13,Falling Down - Bonus Track,Lil Peep,2094,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q,2018-11-03,lt
14,Happier,Marshmello,2046,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2018-11-03,lt
15,ZEZE (feat. Travis Scott & Offset),Kodak Black,2034,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA,2018-11-03,lt
16,Woman Like Me (feat. Nicki Minaj),Little Mix,2012,https://open.spotify.com/track/6rrTr2HEAzlpC4KWZxF3S1,2018-11-03,lt
17,Kiss and Make Up,Dua Lipa,1949,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2018-11-03,lt
18,Bohemian Rhapsody - Remastered 2011,Queen,1923,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2018-11-03,lt
19,Mo Bamba,Sheck Wes,1672,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2018-11-03,lt
20,MIA (feat. Drake),Bad Bunny,1664,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2018-11-03,lt
21,Be Alright,Dean Lewis,1561,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2018-11-03,lt
22,I Love It (& Lil Pump),Kanye West,1529,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,2018-11-03,lt
23,SICKO MODE,Travis Scott,1522,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2018-11-03,lt
24,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,1483,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2018-11-03,lt
25,Another One Bites The Dust - Remastered 2011,Queen,1478,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,2018-11-03,lt
26,Tu Maivais,Free Finga,1442,https://open.spotify.com/track/5xfm1GSz2tHXM8GMfBpWk2,2018-11-03,lt
27,Suncity (feat. Empress Of),Khalid,1397,https://open.spotify.com/track/4AhSkRYioEIfGvCV19peYN,2018-11-03,lt
28,Natural,Imagine Dragons,1390,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP,2018-11-03,lt
29,Better Now,Post Malone,1368,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2018-11-03,lt
30,I Found You (with Calvin Harris),benny blanco,1360,https://open.spotify.com/track/5sdb5pMhcK44SSLsj1moUh,2018-11-03,lt
31,Eastside (with Halsey & Khalid),benny blanco,1309,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao,2018-11-03,lt
32,Wake Up in the Sky,Gucci Mane,1277,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq,2018-11-03,lt
33,Moonlight,XXXTENTACION,1238,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2018-11-03,lt
34,SAD!,XXXTENTACION,1237,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2018-11-03,lt
35,Ruin My Life,Zara Larsson,1224,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,2018-11-03,lt
36,Nevermind,Dennis Lloyd,1222,https://open.spotify.com/track/63SevszngYpZOwf63o61K4,2018-11-03,lt
37,Under Pressure - Remastered,Queen,1179,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x,2018-11-03,lt
