"","doc_id","text","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo"
"13","05t7JMip6JrLuSrMV5yYjX","Now I lay me down to sleep (Now I lay me down to sleep), ayy;I pray the Lord my soul to keep (I pray the Lord my soul to keep), yeah, ayy;Like a locksmith, I got the keys (Like a locksmith, I got the keys), yeah, ayy;Pull up, make opp niggas bleed (Pull up, make opp niggas bleed), yeah, ayy;I got water like overseas, yeah, ayy (Overseas);Bitch, I ball like NBA (Bitch, I ball like NBA), yeah, ayy;Bitch, I ball like MVP (Bitch, I ball like MVP), yeah, ayy;I got money, they envy me (I got money, they envy me);I'm with the gang, I'm with the mob, what was you thinkin'?;Remember them days, and that shit was hard, a nigga been thinkin' (Yeah);I put a four in a twenty ounce, a nigga been drinkin' (Yeah);If you with the squad, I give you my heart, lil' nigga, I mean it (Yeah);I was fighting some demons, in the field, bitch, I'm deep in (Deep in);I was raised in the deep end (Deep end), I know niggas be sinkin' (Sinkin');Take your bitch and go deep in, but I gave her back, why you tweakin'? (Tweakin');Come around with that rah-rah, we leave you dead on the cement (On the cement);With the gang, we ain't playing fair;Matter fact, we don't play at all;OG 'Woods in the air;But we bought the Runtz so we smoke it all;Putting on a front, boy, you better fall;We gon' kill 'em dead, we gon' kill 'em all;Might spend a ten when I'm in the mall;I was on the bend with it in my drawers;Hit that smoke and I'm blackin' (Blackin');Hit that smoke and I black out;If he run, blow his back down;I was gone but I'm back now;These niggas gon' fold, but I never back down;In the school, I was trappin' (Trappin');In the school, you was class clown (Class clown);Ayy, now I lay me down to sleep, ayy;I pray the Lord my soul to keep, yeah, ayy;Like a locksmith, I got the keys, yeah, ayy;Pull up, make opp niggas bleed, yeah, ayy;I got water like overseas, yeah, ayy;Bitch, I ball like NBA, yeah, ayy;Bitch, I ball like MVP, yeah, ayy;I got money, they envy me",0.556,0.481,11,-7.663,1,0.313,0.282,0,0.216,0.581,149.025
"35","0d2iYfpKoM0QCKvcLCkBao","Uh;Yeah, yeah;When I was young, I fell in love;We used to hold hands, man, that was enough (Yeah);Then we grew up, started to touch;Used to kiss underneath the light on the back of the bus (Yeah);I know your daddy didn't like me much;And he didn't believe me when I said you were the one;Oh, every day, she found a way out of the window to sneak out late;She used to meet me on the Eastside;In the city where the sun don't set;And every day, you know that we'd ride;Through the backstreets in a blue Corvette;Baby, you know I just wanna leave tonight;We can go anywhere we want;Drive down to the coast, jump in the sea;Just take my hand and come with me, yeah;We can do anything if we put our minds to it;Take your old life, then you put a line through it;My love is yours if you're willing to take it;Give me your heart 'cause I ain't gonna break it;So come away, starting today;Start a new life together in a different place;We know that love is how all these ideas came to be;So baby, run away with me;17, and we got a dream to have a family;A house, and everything in between;And then, oh, suddenly, we turned 23;And now we got pressure for taking our life more seriously;We got our dead-end jobs and got bills to pay;Our old friends are now our enemies;And now I, I'm thinking back to when I was young;Back to the day when I was falling in love;He used to meet me on the Eastside;In the city where the sun don't set;And every day, you know where we'd ride;Through the backstreets in a blue Corvette;And baby, you know I just wanna leave tonight;We can go anywhere we want;Drive down to the coast, jump in the sea;Just take my hand and come with me, singing;We can do anything if we put our minds to it;Take your old life, then you put a line through it;My love is yours if you're willing to take it;Give me your heart 'cause I ain't gonna break it;So come away, starting today;To start a new life together in a different place;We know that love is how all these ideas came to be;So baby, run away with me;Run away now, run away now;Run away now;Run away now, run away now;Run away now;He used to meet me on the Eastside;She used to meet me on the Eastside;He used to meet me on the Eastside;She used to meet me on the Eastside;In the city where the sun don't set",0.56,0.68,6,-7.648,0,0.321,0.555,0,0.116,0.319,89.391
"39","0e7ipj03S05BNilyu5bRzt","Hahahahaha Tank God Ayy  ayy I've been fuckin' hoes and poppin' pillies Man  I feel just like a rockstar (Star  ayy  ayy) All my brothers got that gas And they always be smokin' like a Rasta ('Sta) Fuckin' with me  call up on a Uzi And show up  man  them the shottas ('Tas) When my homies pull up on your block They make that thing go grrra-ta-ta-ta (Ta  pow  pow  pow  ayy  ayy) Switch my whip  came back in black I'm startin' sayin'  ""Rest in peace to Bon Scott"" (Scott  ayy) Close that door  we blowin' smoke She ask me light a fire like I'm Morrison ('Son  ayy) Act a fool on stage Prolly leave my fuckin' show in a cop car (Car  ayy) Shit was legendary Threw a TV out the window of the Montage Cocaine on the table  liquor pourin'  don't give a damn Dude  your girlfriend is a groupie  she just tryna get in Sayin'  ""I'm with the band"" (Ayy  ayy) Now she actin' outta pocket  tryna grab up on my pants Hundred bitches in my trailer say they ain't got a man And they all brought a friend (Yeah  ayy  ayy  ayy) I've been fuckin' hoes and poppin' pillies Man  I feel just like a rockstar (Star  ayy  ayy) All my brothers got that gas And they always be smokin' like a Rasta ('Sta) Fuckin' with me  call up on a Uzi And show up  man  them the shottas ('Tas) When my homies pull up on your block They make that thing go grrra-ta-ta-ta (Ta  pow  pow  pow) I've been in the Hills fuckin' superstars Feelin' like a popstar (21  21  21) Drankin' Henny  bad bitches jumpin' in the pool And they ain't got on no bra (Bra) Hit her from the back  pullin' on her tracks And now she screamin' out  (Yeah  yeah  yeah) They like  ""Savage  why you got a 12 car garage And you only got six cars "" (21) I ain't with the cakin'  how you kiss that  (Kiss that ) Your wifey say I'm lookin' like a whole snack (Big snack) Green hundreds in my safe  I got old racks (Old racks) L A  bitches always askin'  ""Where the coke at "" (21  21) Livin' like a rockstar  smash out on a cop car Sweeter than a Pop-Tart  you know you are not hard I done made the hot chart  'member I used to trap hard Livin' like a rockstar  I'm livin' like a rockstar (Ayy) I've been fuckin' hoes and poppin' pillies Man  I feel just like a rockstar (Star  ayy  ayy) All my brothers got that gas And they always be smokin' like a Rasta ('Sta  yeah  yeah  yeah  yeah) Fuckin' with me  call up on a Uzi And show up  man  them the shottas ('Tas) When my homies pull up on your block They make that thing go grrra-ta-ta-ta (Ta  grrra-ta-ta-ta-ta) Star  star  rockstar  rockstar  star Rockstar Rockstar  feel just like a Rockstar Rockstar Rockstar Feel just like a  ",0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801
"45","0F7FA14euOIX8KcbEturGH","Yeah, I'm gonna take my horse to the old town road;I'm gonna ride 'til I can't no more;I'm gonna take my horse to the old town road;I'm gonna ride 'til I can't no more(Kio, Kio);I got the horses in the back;Horse tack is attached;Hat is matte black;Got the boots that's black to match;Ridin' on a horse, ha;You can whip your Porsche;I been in the valley;You ain't been up off that porch, now;Can't nobody tell me nothin';You can't tell me nothin';Can't nobody tell me nothin';You can't tell me nothin';Ridin' on a tractor;Lean all in my bladder;Cheated on my baby;You can go and ask her;My life is a movie;Bull ridin' and boobies;Cowboy hat from Gucci;Wrangler on my booty;Can't nobody tell me nothin';You can't tell me nothin';Can't nobody tell me nothin';You can't tell me nothin';Yeah, I'm gonna take my horse to the old town road;I'm gonna ride 'til I can't no more;I'm gonna take my horse to the old town road;I'm gonna ride 'til I can't no more;I got the hor-",0.907,0.53,1,-6.112,1,0.127,0.0578,2.23e-06,0.101,0.507,135.998
"48","0FZ4Dmg8jJJAPJnvBIzD9z","D.A. got that dope!;Ice water, turned Atlantic (Freeze);Nightcrawlin' in the Phantom (Skrrt, Skrrt);Told them hoes that don't you panic;Took an island, (Yeah) flood the mansion (Big water);Dropped the roof, more expansion;Drive a coupe you can stand in (It's lit);See the bitches undercover (In the sheets);I'm an ass and titty lover (Big ass);Guess we all made for each other;Now that all the dawgs free (Yeah, yeah);And we out in these streets (Alright);Can you do it, can you pop it for me?;Pull up in a Demon, on God (On God);Lookin' like I still do fraud (Fraud);Flyin' private jet with the rod (Rod);This that Z shit, this that Z shit (This that Z shit);Pull up in a Demon, on God (On God);Lookin' like I still do fraud (Fraud);Flyin' private jet with the rod (Rod);This that Z shit, this that Z shit (This that Z shit);Offset!Blow the brains out the coupe (Boom);Police wanna talk, but I'm on mute (Woo-woo, hey);I'ma bust her wrist down 'cause she cute (Ice, ice);Fuck her on a yacht, dive in a pool (Yeah);She an addict (Addict), addict for the lifestyle and the Patek (Patek);Big daddy, have you ever felt Chanel fabrics? (Chanel);I be drippin' to death, I need a casket (Drippin');And we got more stripes than the ref, he foul, TEC him (Bow, stripes);In the middle of the field like David Beckham (Field, bow-bow);All my niggas locked up, for real, I'm tryna help 'em (Free, free);When I got a mil', got me the chills, don't know what happened (Hoo, chills);Pop pills, do what you feel, I'm on that zombie (Hey, hoo);I'm more like Gaddafi, I'm not no Gandhi (Gaddafi, hey);I'm more like I'm David, Goliath runnin' (Hey, hey);Niggas be clonin', I find it funny (Clone, haha);We from the Nawf, straight out of the dungeon (We from the Nawf, hey);I go in her mouth, she can't tell me nothin' (Eghck, eghck, egchk);300, the watch is out of your budget (Woo, woo, 300);Mean-muggin' got me clutchin'Yeah, and this stick right out of Russia;Ice water, turned Atlantic (Freeze);Nightcrawlin' in the Phantom (Skrrt, skrrt);Told them hoes that don't you panic;Took an island, (Yeah) flood the mansion (Big water);Dropped the roof, more expansion;Drive a coupe you can stand in (It's lit);Bitches undercover (In the sheets);I'm an ass and titty lover (Big ass);Guess we all made for each other;Now that all the dawgs free (Yeah, yeah);And we out in these streets (Alright);Can you do it, can you pop it for me?;Pull up in a Demon, on God (On God);Lookin' like I still do fraud (Fraud);Flyin' private jet with the rod (Rod);This that Z shit, this that Z shit (This that Z shit);Pull up in a Demon, on God (On God);Lookin' like I still do fraud (Fraud);Flyin' private jet with the rod (Rod);This that Z shit, this that Z shit (This that Z shit);In a Hellcat 'cause I'm a hell-raiser;Self-made, I don't owe a nigga nann favor;When you get that money, nigga, keep your heart;I'm slidin' in a coupe, ain't got no key to start;I got the fire on me in BET Awards;When your well run dry, you know you need me for it;When I pull up in the Buick, you know what I'm doin';If the police get behind me, I'm fleein' and eludin'Sleepin' on the palette turned me to a savage;I'm a project baby, now I stay in Calabasas;Like I still serve fiends, like I'm still jackin'I be sippin' on lean, tryna keep balance;Hit that Z-Walk, Dickie's with my Reeboks;I don't say much, I just let the heat talk;Your jewelry water whip, diamonds like re-rock;My lil' baby ride the dick like a seesaw;When I stepped up on the scene, I was on a bean;When I jumped up out the Beam', I was in Celine;Baby girl, you just a fling, that ain't what I mean;Money bustin' out my jeans like I do the scheme;Pull up in a Demon, on God (On God);Lookin' like I still do fraud (Fraud);Flyin' private jet with the rod (Rod);This that Z shit, this that Z shit (This that Z shit);Pull up in a Demon, on God (On God);Lookin' like I still do fraud (Fraud);Flyin' private jet with the rod (Rod);This that Z shit, this that Z shit (This that Z shit);Uh-huh, ha, oh-ah-oh;Uh-huh, ha, oh-ah-oh;Uh-huh, ha, oh-ah-oh;Uh-huh, ha, oh-ah-oh",0.861,0.603,8,-5.788,0,0.176,0.0521,0,0.0924,0.504,98.043
"58","0hVXuCcriWRGvwMV1r5Yn9","I'm at a party I don't wanna be at;And I don't ever wear a suit and tie, yeah;Wonderin' if I could sneak out the back;Nobody's even lookin' me in my eyes;Then you take my hand;Finish my drink, say, ""Shall we dance?"" (Hell, yeah);You know I love ya, did I ever tell ya?;You make it better like that;Don't think I fit in at this party;Everyone's got so much to say (Yeah);I always feel like I'm nobody, mmm;Who wants to fit in anyway?;'Cause I don't care when I'm with my baby, yeah;All the bad things disappear;And you're making me feel like maybe I am somebody;I can deal with the bad nights;When I'm with my baby, yeah;Ooh, ooh, ooh, ooh, ooh, ooh'Cause I don't care as long as you just hold me near;You can take me anywhere;And you're making me feel like I'm loved by somebody;I can deal with the bad nights;When I'm with my baby, yeah;Ooh, ooh, ooh, ooh, ooh, ooh;We at a party we don't wanna be at;Tryna talk, but we can't hear ourselves;Read your lips, I'd rather kiss 'em right back;With all these people all around;I'm crippled with anxiety;But I'm told it's where I'm s'posed to be;You know what? It's kinda crazy 'cause I really don't mind;When you make it better like that;Don't think we fit in at this party;Everyone's got so much to say, oh yeah, yeah;When we walked in, I said I'm sorry, mmm;But now I think that we should stay;'Cause I don't care when I'm with my baby, yeah;All the bad things disappear;Yeah, you're making me feel like maybe I am somebody;I can deal with the bad nights when I'm with my baby, yeah;Ooh, ooh, ooh, ooh, ooh, ooh (Oh yeah, yeah, yeah)'Cause I don't care as long as you just hold me near;You can take me anywhere;And you're making me feel like I'm loved by somebody;I can deal with the bad nights when I'm with my baby, yeah;Ooh, ooh, ooh, ooh, ooh, ooh (No);I don't like nobody but you, it's like you're the only one here;I don't like nobody but you, baby, I don't care;I don't like nobody but you, I hate everyone here;I don't like nobody but you, baby, yeah;'Cause I don't care (Don't care);When I'm with my baby, yeah (Oh yeah);All the bad things disappear (Disappear);And you're making me feel like maybe I am somebody (Maybe I'm somebody);I can deal with the bad nights (With the bad nights);When I'm with my baby, yeah;Ooh, ooh, ooh, ooh, ooh, ooh (Oh yeah, yeah, yeah)'Cause I don't care as long as you just hold me near (Me near);You can take me anywhere (Anywhere, anywhere);And you're making me feel like I'm loved by somebody;(I'm loved by somebody, yeah, yeah, yeah);I can deal with the bad nights;When I'm with my baby, yeah;Ooh, ooh, ooh, ooh, ooh, ooh",0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956
"70","0JP9xo3adEtGSdUEISiszL","Yeah;Spotlight, uh, moonlight, uh;Nigga, why you trippin'? Get your mood right, uh;Shawty look good in the moonlight;All these pussy niggas so bad mind;Spotlight, moonlight;Nigga, why you trippin'? Get your mood right;Shawty look good in the moonlight;All these pussy niggas so bad mind;Spotlight, uh, moonlight;Nigga, why you trippin'? Get your mood right, uh;Shawty look good in the moonlight;All these pussy niggas so bad mind;Spotlight, moonlight;Nigga, why you trippin'? Get your mood right;Shawty look good in the moonlight;All these pussy niggas so bad mind;Feel like I'm destined;I don't need no Smith & Wesson, no;Boy, who you testin'?;Fuck a Scantron, here's your lesson, oh;Knife in intestine;Takin' shots at all your brethren, no;Feel like I'm damaged;Girl I know you fucking planned this;All alone, call my phone, make me feel right;Girl you know when you call, make me feel right;All alone, call my phone, make me feel right;Girl you know when you call, make me feel right;Spotlight, uh, moonlight, uh;Nigga, why you trippin'? Get your mood right, uh;Shawty look good in the moonlight;All these pussy niggas so bad mind;Spotlight, moonlight;Nigga, why you trippin'? Get your mood right;Shawty look good in the moonlight;All these pussy niggas so bad mind;Spotlight, uh, moonlight;Nigga, why you trippin'? Get your mood right, uh;Shawty look good in the moonlight;All these pussy niggas so bad mind;Spotlight, moonlight;Nigga, why you trippin'? Get your mood right;Shawty look good in the moonlight;All these pussy niggas so bad mind",0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009
"104","0RiRZpuVRbi7oqRdSMwhQY","Ayy, ayy, ayy, ayy (Ooh);Ooh, ooh, ooh, ooh (Ooh);Ayy, ayy;Ooh, ooh, ooh, ooh;Needless to say, I keep in check;She was a bad-bad, nevertheless (Yeah);Callin' it quits now, baby, I'm a wreck (Wreck);Crash at my place, baby, you're a wreck (Wreck);Needless to say, I'm keeping in check;She was a bad-bad, nevertheless;Callin' it quits now, baby, I'm a wreck;Crash at my place, baby, you're a wreck;Thinkin' in a bad way, losin' your grip;Screamin' at my face, baby, don't trip;Someone took a big L, don't know how that felt;Lookin' at you sideways, party on tilt;Ooh-ooh, some things you just can't refuse;She wanna ride me like a cruise and I'm not tryna lose;Then you're left in the dust, unless I stuck by ya;You're a sunflower, I think your love would be too much;Or you'll be left in the dust, unless I stuck by ya;You're the sunflower, you're the sunflower;Every time I'm leavin' on ya (Ooh);You don't make it easy, no (No, no);Wish I could be there for ya (Ooh);Give me a reason to, oh (Oh);Every time I'm walkin' out (Oh);I can hear you tellin' me to turn around (Oh, oh);Fightin' for my trust and you won't back down (No);Even if we gotta risk it all right now, oh (Now);I know you're scared of the unknown (Known);You don't wanna be alone (Alone);I know I always come and go (And go);But it's out of my control;And you'll be left in the dust, unless I stuck by ya;You're the sunflower, I think your love would be too much;Or you'll be left in the dust, unless I stuck by ya;You're the sunflower, you're the sunflower (Yeah)",0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96
"105","0rKtyWc8bvkriBthvHKY8d","I don't want a friend (Just one more night);I want my life in two (My life in two);Please one more night;Waiting to get there;Waiting for you (Waiting for you);Just one more night;I'm done fighting all night;When I'm around slow dancing in the dark;Don't follow me, you'll end up in my arms;You done made up your mind;I don't need no more signs;Can you?;Can you?;Give me reasons we should be complete;You should be with him, I can't compete;You looked at me like I was someone else, oh well;Can't you see? (Can't you see?);I don't wanna slow dance (I don't wanna slow dance);In the dark, dark;When you gotta run;Just hear my voice in you (My voice in you);Shutting me out you (Shutting me out);Doing so great (So great, so great);You;Used to be the one to hold you when you fall;Yeah, yeah, yeah (When you fall, when you fall);I don't fuck with your tone (I don't fuck with your tone);I don't wanna go home (I don't wanna go home);Can it be one night?;Can you?;Can you?;Give me reasons we should be complete;You should be with him, I can't compete;You looked at me like I was someone else, oh well;Can't you see?;I don't wanna slow dance (I don't wanna slow dance);In the dark, dark;In the dark, dark",0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964
"107","0Rx0DJI556Ix5gBny6EWmn","One, two, three, four;Hands on your body, I'm grabbin' your ass;Enjoyin' the moment 'cause life move too fast;I'm lookin' forward, ignorin' the past;These are the times that we'll laugh lookin' back;I'm gettin' lucky like coins in the well;Goodbye to my haters, I'm wishin' you well;This is my year, man, if you couldn't tell;This is our life and we livin' it well;Late nights in the city, causin' hell;Burn this bitch into the ground, oh well;If all we got tonight, let's do this right;Let's do this right;Let's go to (Paradise);This shit feel like Friday nights;This shit make me feel alive;I feel like we in paradise, paradise (Paradise);Don't know if it's the drink I poured;But I swear I've never loved you more;When you right here, I come alive;One more hit and we can fly;This shit feel like (Paradise);I'm feelin' it, my head's where the ceilin' is (Oh yeah);This energy turns nights into memories (Oh yeah);Count up the bands, you've been workin' all summer;Ex didn't know what he had, what a bummer;Insecure people turn to insecure lovers;Well, my drink is almost out and I'm about to pour another;Just let it out;The night has just begun, we on a level now;If I get too fucked up, promise you'll hold me down;Yeah, this that shit you can't deny;This that shit you feel inside;This our life, our time, we livin' well;Late nights in the city, causin' hell;Burn this bitch into the ground, oh well;If all we got tonight, let's do this right;Let's do this right;Let's go to (Paradise);This shit feel like Friday nights (Ooh, it do);This shit make me feel alive (Baby);I feel like we in paradise, paradise (Paradise, oh yeah);Don't know if it's the drink I poured (Poured);But I swear I've never loved you more (Loved you more);When you right here, I come alive;One more hit and we can fly;This shit feel like (Paradise)",0.844,0.644,11,-6.273,0,0.0479,0.0828,0,0.113,0.591,122.061
